UNITID,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,CONTROL,LOCALE,CIP11ASSOC,CIP11BACHL,CIP52ASSOC,CIP52BACHL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,Additional_Expenses,Program_Offered,ENT_2YR_RANK,Total_Crime_Rank,Violent_Rank,Violent_Crime_Percentile,Total_Crime_Percentile,Branch,Address,Sector,Lat,Long,Url
481234,Advanced Computing Institute,Los Angeles,CA,90010-3911,Council on Occupational Education,1,3,11,1,0,1,0,0,0,0,,0.8824,,,0.2986,,,,,,,,,,0,2,4,155,290,0.773333333,0.413333333,Main Campus,3470 Wilshire Boulevard,"Private for-profit, 2-year",0,0,www.advancedcomputinginstitute.edu
110468,Alliant International University,San Diego,CA,92131-1799,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,0,0,1,28901,15816,15816,0.75,,1,,0.1625,56100,54200,56200,55200,60600,54900,60200,58100,66200,13085,1,10,88,189,0.504,0.234666667,,,,32.8971,-117.0944,www.alliant.edu
116846,American Jewish University,Los Angeles,CA,90077-1519,Western Association of Schools and Colleges Senior College and University Commission,1,2,11,0,0,0,1,46466,27900,27900,0.8333,,,,0.1696,,,,,,,,,,18566,1,4,155,290,0.773333333,0.413333333,Familian Campus,15600 MULHOLLAND DR,"Private nonprofit, 4-year or above",34.1281,-118.4718,www.aju.edu
189097,Barnard College,New York,NY,10027-6598,Middle States Commission on Higher Education,1,2,11,0,1,0,0,59581,44790,44790,0.9764,,1,,0.0048,46400,51200,51200,65300,71400,,,,,14791,1,7,70,105,0.28,0.186666667,Main Campus,3009 BROADWAY,"Private nonprofit, 4-year or above",40.8091,-73.964,www.barnard.edu
189228,Berkeley College-New York,New York,NY,10017,Middle States Commission on Higher Education,1,3,11,0,0,2,2,36229,23100,23100,0.5768,,0.2,,0.4204,32800,38400,38500,40900,42300,32900,32600,41300,44900,13129,4,7,70,105,0.28,0.186666667,Main Campus,3 E 43rd STREET,"Private for-profit, 4-year or above",40.754,-73.9796,www.BerkeleyCollege.edu
189413,Boricua College,New York,NY,10032-1560,Middle States Commission on Higher Education,1,2,11,0,0,1,1,26225,11025,11025,0.4873,,,,0.5895,24500,31300,30100,31600,33400,23800,26200,31900,39600,15200,2,7,70,105,0.28,0.186666667,Manhattan Campus - Main Campus,3755 BROADWAY,"Private nonprofit, 4-year or above",40.8334,-73.9458,boricuacollege.edu
480781,California Miramar University,San Diego,CA,92126,Accrediting Council for Independent Colleges and Schools | Distance Education Accrediting Commission,1,3,11,0,0,2,2,21442,7990,7990,,,,,0.2273,,,,,,,,,,13452,4,10,88,189,0.504,0.234666667,Main Campus,"9750 Miramar Road, Suite 180","Private for-profit, 4-year or above",0,0,www.calmu.edu
110592,California State University-Los Angeles,Los Angeles,CA,90032,Western Association of Schools and Colleges Senior College and University Commission,1,1,11,0,1,0,1,14747,6344,17504,0.8206,,0.5804,,0.2574,35700,40300,41700,45900,46100,34100,38700,43800,50200,-2757,2,4,155,290,0.773333333,0.413333333,"California State University, Los Angeles",5151 STATE UNIVERSITY DR,"Public, 4-year or above",34.0669,-118.169,www.calstatela.edu
112446,Coleman University,San Diego,CA,92123-1506,Accrediting Council for Independent Colleges and Schools | Western Association of Schools and Colleges Senior College and University Commission,1,2,11,1,1,1,1,29842,20200,20200,,,,,0.7143,40500,41400,44700,51200,47100,30500,43000,41000,49000,9642,4,10,88,189,0.504,0.234666667,Coleman University,8888 Balboa Ave.,"Private nonprofit, 4-year or above",32.822,-117.1365,www.coleman.edu
126872,College America-Denver,Denver,CO,80222,Accrediting Commission of Career Schools and Colleges,1,2,11,1,1,1,1,22306,17211,17211,0.4211,,,,0.6398,20600,24100,25000,30900,28000,20300,21400,23600,35100,5095,4,6,2,216,0.576,5.33E-03,,,,39.6916,-104.9412,www.collegeamerica.edu
388520,College of Biblical Studies-Houston,Houston,TX,77036-3211,Association for Biblical Higher Education Commission on Accreditation | Southern Association of Colleges and Schools Commission on Colleges,1,2,11,0,0,1,1,29103,9801,9801,0.5,,0.6667,,0.8534,38200,44500,39700,49100,52300,35400,41000,50800,53400,19302,2,8,5,331,0.882666667,1.33E-02,Main Campus,7000 Regency Square Blvd.,"Private nonprofit, 4-year or above",29.7167,-95.5066,www.cbshouston.edu
367839,Colorado Heights University,Denver,CO,80236-2711,Accrediting Council for Independent Colleges and Schools,1,2,11,0,0,0,1,11349,5634,5634,0.44,,0.6667,,0.6356,24300,,,,,21600,27500,,,5715,1,6,2,216,0.576,5.33E-03,Colorado Heights University,3001 S FEDERAL BLVD,"Private nonprofit, 4-year or above",39.6619,-105.0282,WWW.CHU.EDU
190150,Columbia University in the City of New York,New York,NY,10027,Middle States Commission on Higher Education,1,2,11,0,1,0,1,61540,49138,49138,0.9734,,0.9655,,0.1744,77000,89100,92100,95500,101400,70400,85700,85300,120600,12402,2,7,70,105,0.28,0.186666667,Morningside Campus,116 ST AND BROADWAY,"Private nonprofit, 4-year or above",40.8083,-73.9619,www.columbia.edu
